> #### Run IMIS algorithm ####
[1]   83.000   -4.364 2419.102    0.004  966.828
[1]   84.000   -4.354 2428.556    0.008  932.885
[1]   85.000   -4.361 2443.380    0.004  985.820
[1]   86.000   -4.267 2381.061    0.080  138.065
[1]   87.000   -4.343 2477.971    0.007  982.028
[1]   88.000   -4.344 2520.689    0.004 1027.422
[1]   89.000   -4.348 2540.427    0.004 1047.981
[1]   90.000   -4.344 2556.532    0.007 1027.776
[1]   91.000   -4.346 2577.623    0.004 1071.919
[1]   92.000   -4.339 2593.257    0.004 1093.539
[1]   93.000   -4.326 2601.724    0.006 1062.683
[1]   94.000   -4.320 2630.810    0.004 1113.156
[1]   95.000   -4.309 2654.437    0.004 1120.632
[1]   96.000   -4.309 2675.912    0.004 1135.326
[1]   97.000   -4.224 2613.037    0.055  245.376
[1]   98.000   -4.278 2698.602    0.012  936.450
[1]   99.000   -4.279 2729.001    0.009 1031.626
[1]  100.000   -4.281 2742.641    0.008 1071.384
[1]  101.000   -4.278 2758.312    0.006 1122.322
[1]  102.000   -4.257 2772.242    0.006 1122.170
[1]  103.000   -4.259 2807.420    0.005 1178.709
[1]  104.000   -4.257 2827.982    0.005 1202.034
[1]  105.000   -4.257 2834.866    0.007 1168.009
[1]  106.000   -4.261 2856.329    0.004 1232.522
[1]  107.000   -4.254 2880.409    0.005 1241.436
[1]  108.000   -4.253 2899.161    0.004 1256.696
[1]  109.000   -4.231 2888.533    0.011 1026.500
[1]  110.000   -4.241 2907.358    0.010 1142.130
[1]  111.000   -4.248 2933.981    0.005 1277.259
[1]  112.000   -4.250 2939.457    0.003 1293.836
[1]  113.000   -4.249 2974.253    0.003 1335.166
[1]  114.000   -4.238 2996.596    0.004 1338.314
[1]  115.000   -4.224 2993.602    0.008 1246.565
[1]  116.000   -4.217 3024.702    0.008 1250.208
[1]  117.000   -4.221 3050.800    0.009 1235.348
[1]  118.000   -4.219 3076.426    0.005 1339.067
[1]  119.000   -4.220 3095.785    0.004 1378.402
[1]  120.000   -4.218 3117.248    0.003 1391.853
[1]  121.000   -4.216 3141.630    0.003 1416.867
[1]  122.000   -4.219 3163.304    0.003 1435.632
[1]  123.000   -4.216 3177.284    0.003 1435.726
[1]  124.000   -4.215 3197.286    0.003 1448.598
[1]  125.000   -4.208 3198.601    0.010 1297.266
[1]  126.000   -4.217 3229.186    0.003 1478.322
[1]  127.000   -4.203 3244.981    0.005 1435.876
[1]  128.000   -4.162 3205.999    0.038  474.038
[1]  129.000   -4.197 3277.509    0.005 1468.679
[1]  130.000   -4.185 3287.987    0.006 1409.487
[1]  131.000   -4.174 3310.229    0.009 1379.758
[1]  132.000   -4.142 3296.573    0.029  684.797
[1]  133.000   -4.174 3353.343    0.004 1556.367
[1]  134.000   -4.172 3365.279    0.003 1571.696
[1]  135.000   -4.169 3383.950    0.003 1603.085
[1]  136.000   -4.172 3409.441    0.003 1632.389
[1]  137.000   -4.171 3421.665    0.004 1623.973
[1]  138.000   -4.170 3426.828    0.006 1592.103
[1]  139.000   -4.174 3434.549    0.003 1659.678
[1]  140.000   -4.160 3440.529    0.012 1372.604
[1]  141.000   -4.175 3474.262    0.003 1696.305
[1]  142.000   -4.177 3479.744    0.003 1708.553
[1]  143.000   -4.167 3479.493    0.004 1678.615
[1]  144.000   -4.168 3500.040    0.003 1719.213
[1]  145.000   -4.164 3510.416    0.003 1730.448
[1]  146.000   -4.166 3522.828    0.003 1745.398
[1]  147.000   -4.148 3519.698    0.004 1698.975
[1]  148.000   -4.148 3534.744    0.004 1725.858
[1]  149.000   -4.137 3555.871    0.003 1762.347
[1]  150.000   -4.137 3580.508    0.003 1791.932
[1]  151.000   -4.125 3575.883    0.007 1625.898
[1]  152.000   -4.127 3623.295    0.005 1777.132
[1]  153.000   -4.122 3628.628    0.008 1690.900
[1]  154.000   -4.128 3648.607    0.003 1841.245
[1]  155.000   -4.134 3667.570    0.003 1872.693
[1]  156.000   -4.137 3679.200    0.002 1905.756
[1]  157.000   -4.138 3694.409    0.002 1931.586
[1]  158.000   -4.138 3726.707    0.003 1971.867
[1]  159.000   -4.128 3753.498    0.003 2001.790
[1]  160.000   -4.101 3747.878    0.005 1813.716
[1]  161.000   -4.099 3768.869    0.004 1889.068
[1]  162.000   -4.101 3796.955    0.004 1966.528
[1]  163.000   -4.091 3808.229    0.011 1678.000
[1]  164.000   -4.102 3842.061    0.003 2053.029
[1]  165.000   -4.102 3863.025    0.002 2103.560
[1]  166.000   -4.102 3873.810    0.002 2123.194
[1]  167.000   -4.091 3879.973    0.005 2044.011
[1]  168.000   -4.095 3918.031    0.002 2184.712
[1]  169.000   -4.094 3934.827    0.002 2214.728
[1]  170.000   -4.094 3956.870    0.002 2246.171
[1]  171.000   -4.092 3964.600    0.002 2256.774
[1]  172.000   -4.087 3976.352    0.002 2249.206
[1]  173.000   -4.081 3982.379    0.008 2014.368
[1]  174.000   -4.082 4009.861    0.002 2305.645
[1]  175.000   -4.082 4019.510    0.002 2323.004
[1]  176.000   -4.074 4030.735    0.004 2295.756
[1]  177.000   -4.060 4020.342    0.012 1779.259
[1]  178.000   -4.073 4054.799    0.003 2330.450
[1]  179.000   -4.016 3964.645    0.040  494.776
[1]  180.000   -4.035 4021.805    0.013 1501.007
[1]  181.000   -4.041 4059.691    0.008 2027.900
[1]  182.000   -4.046 4084.085    0.004 2250.804
[1]  183.000   -4.046 4105.858    0.004 2319.535
[1]  184.000   -4.046 4136.209    0.003 2386.235
[1]  185.000   -4.041 4153.936    0.003 2417.173
[1]  186.000   -4.040 4166.220    0.003 2459.926
[1]  187.000   -4.041 4182.224    0.002 2509.016
[1]  188.000   -4.018 4173.572    0.005 2330.254
[1]  189.000   -4.028 4214.184    0.002 2549.164
[1]  190.000   -4.027 4231.476    0.002 2546.646
[1]  191.000   -4.015 4240.221    0.008 2230.025
[1]  192.000   -4.018 4260.189    0.003 2563.961
[1]  193.000   -4.017 4276.308    0.002 2619.226
[1]  194.000   -4.017 4284.441    0.002 2615.878
[1]  195.000   -4.019 4301.371    0.002 2657.076
[1]  196.000   -4.008 4290.777    0.004 2514.049
[1]  197.000   -4.005 4306.716    0.003 2593.052
[1]  198.000   -4.007 4327.035    0.002 2664.889
[1]  199.000   -4.008 4342.746    0.002 2693.143
[1]  200.000   -4.004 4363.274    0.003 2687.218
[1]  201.000   -4.000 4387.222    0.002 2732.169
[1]  202.000   -3.997 4389.675    0.004 2683.659
[1]  203.000   -3.996 4402.008    0.002 2753.940
[1]  204.000   -3.988 4394.087    0.005 2559.369
[1]  205.000   -3.992 4408.441    0.004 2709.210
[1]  206.000   -3.994 4422.266    0.003 2760.811
[1]  207.000   -3.996 4431.990    0.002 2802.865
[1]  208.000   -3.991 4430.554    0.005 2667.272
[1]  209.000   -3.991 4446.724    0.002 2813.426
[1]  210.000   -3.990 4455.696    0.002 2847.292
[1]  211.000   -3.992 4463.040    0.002 2864.294
[1]  212.000   -3.994 4470.999    0.002 2878.012
[1]  213.000   -3.984 4471.272    0.004 2762.933
[1]  214.000   -3.984 4491.098    0.002 2873.900
[1]  215.000   -3.984 4505.440    0.002 2910.508
[1]  216.000   -3.981 4524.485    0.002 2944.597
[1]  217.000   -3.982 4544.604    0.002 2999.961
[1]  218.000   -3.980 4558.917    0.002 3031.890
[1]  219.000   -3.976 4568.573    0.002 3035.552
[1]  220.000   -3.978 4586.332    0.002 3080.879
[1]  221.000   -3.980 4592.100    0.002 3095.672
[1]  222.000   -3.976 4600.094    0.002 3120.918
[1]  223.000   -3.973 4601.260    0.002 3128.658
[1]  224.000   -3.969 4621.367    0.002 3141.274
[1]  225.000   -3.970 4638.237    0.002 3185.227
[1]  226.000   -3.966 4643.077    0.002 3164.761
[1]  227.000   -3.965 4657.651    0.002 3203.157
[1]  228.000   -3.962 4678.240    0.002 3241.354
[1]  229.000   -3.951 4668.617    0.006 2963.898
[1]  230.000   -3.957 4701.905    0.001 3290.699
[1]  231.000   -3.949 4707.742    0.001 3292.202
[1]  232.000   -3.945 4713.223    0.002 3247.633
[1]  233.000   -3.937 4714.684    0.004 3108.256
[1]  234.000   -3.938 4738.051    0.002 3308.532
[1]  235.000   -3.934 4749.865    0.001 3339.215
[1]  236.000   -3.931 4754.167    0.003 3299.230
[1]  237.000   -3.928 4753.980    0.004 3221.843
[1]  238.000   -3.932 4773.479    0.001 3374.436
[1]  239.000   -3.931 4778.282    0.001 3389.966
[1]  240.000   -3.927 4782.093    0.002 3389.488
[1]  241.000   -3.914 4766.952    0.012 2376.807
[1]  242.000   -3.897 4736.524    0.025 1083.584
[1]  243.000   -3.923 4812.848    0.001 3447.203
[1]  244.000   -3.917 4826.256    0.001 3470.340
[1]  245.000   -3.909 4846.250    0.001 3512.951
[1]  246.000   -3.904 4868.604    0.001 3564.781
[1]  247.000   -3.897 4883.854    0.003 3522.215
[1]  248.000   -3.897 4894.535    0.003 3540.144
[1]  249.000   -3.898 4898.917    0.001 3593.513
[1]  250.000   -3.895 4911.362    0.002 3605.185
[1]  251.000   -3.894 4924.142    0.001 3629.719
[1]  252.000   -3.896 4929.731    0.001 3649.675
[1]  253.000   -3.892 4936.952    0.001 3667.442
[1]  254.000   -3.892 4950.826    0.001 3694.794
[1]  255.000   -3.893 4968.153    0.001 3726.499
[1]  256.000   -3.890 4972.553    0.002 3714.231
[1]  257.000   -3.890 4989.264    0.001 3767.739
[1]  258.000   -3.886 4995.564    0.002 3753.474
[1]  259.000   -3.887 5023.889    0.001 3848.229
[1]  260.000   -3.890 5035.893    0.001 3866.471
[1]  261.000   -3.892 5049.079    0.001 3899.402
[1]  262.000   -3.890 5057.179    0.001 3906.898
[1]  263.000   -3.887 5063.519    0.002 3915.443
[1]  264.000   -3.877 5052.521    0.010 2888.977
[1]  265.000   -3.884 5084.346    0.001 3965.924
[1]  266.000   -3.883 5098.564    0.001 4004.187
[1]  267.000   -3.877 5114.689    0.002 4015.144
[1]  268.000   -3.877 5130.861    0.002 4059.192
[1]  269.000   -3.871 5148.946    0.001 4099.928
[1]  270.000   -3.865 5150.256    0.002 4067.487
[1]  271.000   -3.861 5161.157    0.001 4102.317
[1]  272.000   -3.860 5174.029    0.002 4104.866
[1]  273.000   -3.860 5188.956    0.001 4151.741
[1]  274.000   -3.859 5209.366    0.001 4197.632
[1]  275.000   -3.852 5200.655    0.004 3965.561
[1]  276.000   -3.850 5210.031    0.001 4197.139
[1]  277.000   -3.850 5220.365    0.001 4216.058
[1]  278.000   -3.848 5226.415    0.002 4209.816
[1]  279.000   -3.847 5241.213    0.001 4251.869
[1]  280.000   -3.843 5252.314    0.001 4262.530
[1]  281.000   -3.839 5263.955    0.001 4296.751
[1]  282.000   -3.841 5287.045    0.001 4348.786
[1]  283.000   -3.834 5285.017    0.004 4099.273
[1]  284.000   -3.837 5300.147    0.001 4362.380
[1]  285.000   -3.834 5295.756    0.005 4056.322
[1]  286.000   -3.837 5315.491    0.001 4411.458
[1]  287.000   -3.836 5327.552    0.001 4430.784
[1]  288.000   -3.835 5336.575    0.001 4444.664
[1]  289.000   -3.835 5346.992    0.001 4474.359
[1]  290.000   -3.835 5359.765    0.001 4510.410
[1]  291.000   -3.832 5373.192    0.001 4532.952
[1]  292.000   -3.828 5377.144    0.001 4531.106
[1]  293.000   -3.831 5393.541    0.001 4587.123
[1]  294.000   -3.832 5404.798    0.001 4621.235
[1]  295.000   -3.825 5400.871    0.004 4400.003
[1]  296.000   -3.827 5418.340    0.001 4658.640
[1]  297.000   -3.826 5422.041    0.002 4646.252
[1]  298.000   -3.819 5406.022    0.007 3839.262
[1]  299.000   -3.825 5436.089    0.001 4697.123
[1]  300.000   -3.803 5394.698    0.013 2584.055
[1]  301.000   -3.815 5451.926    0.003 4588.553
[1]  302.000   -3.813 5460.634    0.002 4666.589
[1]  303.000   -3.812 5467.657    0.002 4702.014
[1]  304.000   -3.808 5474.453    0.002 4713.179
[1]  305.000   -3.806 5487.240    0.001 4750.665
[1]  306.000   -3.800 5485.777    0.003 4593.021
[1]  307.000   -3.800 5511.793    0.001 4791.146
[1]  308.000   -3.800 5512.580    0.002 4737.258
[1]  309.000   -3.801 5522.876    0.001 4824.047
[1]  310.000   -3.795 5510.858    0.005 4276.475
[1]  311.000   -3.801 5529.391    0.001 4835.077
[1]  312.000   -3.799 5546.234    0.001 4869.238
[1]  313.000   -3.795 5546.135    0.004 4648.135
[1]  314.000   -3.785 5524.395    0.006 3814.214
[1]  315.000   -3.788 5542.805    0.005 4325.622
[1]  316.000   -3.791 5559.602    0.003 4711.653
[1]  317.000   -3.793 5572.670    0.002 4857.810
[1]  318.000   -3.791 5585.770    0.001 4962.928
[1]  319.000   -3.791 5590.629    0.001 4979.832
[1]  320.000   -3.789 5601.303    0.001 5002.137
[1]  321.000   -3.788 5610.386    0.001 5036.027
[1]  322.000   -3.784 5606.803    0.002 4936.352
[1]  323.000   -3.760 5525.388    0.026 1156.498
[1]  324.000   -3.784 5614.194    0.002 5009.632
[1]  325.000   -3.784 5623.701    0.001 5073.347
[1]  326.000   -3.780 5609.947    0.005 4476.055
[1]  327.000   -3.785 5631.089    0.001 5101.170
[1]  328.000   -3.782 5641.166    0.001 5134.101
[1]  329.000   -3.783 5655.437    0.001 5173.482
[1]  330.000   -3.782 5665.252    0.001 5199.856
[1]  331.000   -3.779 5676.167    0.001 5234.216
[1]  332.000   -3.778 5684.542    0.001 5241.659
[1]  333.000   -3.774 5690.023    0.002 5214.458
[1]  334.000   -3.775 5697.967    0.001 5288.091
[1]  335.000   -3.770 5702.276    0.002 5217.217
[1]  336.000   -3.771 5712.500    0.001 5310.733
[1]  337.000   -3.769 5723.366    0.001 5349.003
[1]  338.000   -3.766 5719.984    0.003 5213.726
[1]  339.000   -3.767 5727.391    0.001 5344.174
[1]  340.000   -3.767 5738.652    0.001 5392.582
[1]  341.000   -3.764 5739.064    0.003 5166.012
[1]  342.000   -3.766 5751.088    0.001 5399.550
[1]  343.000   -3.764 5769.062    0.001 5486.477
[1]  344.000   -3.762 5765.492    0.002 5394.302
[1]  345.000   -3.757 5760.669    0.003 5229.114
[1]  346.000   -3.759 5776.194    0.001 5490.892
[1]  347.000   -3.754 5775.804    0.002 5374.156
[1]  348.000   -3.753 5788.726    0.001 5503.832
[1]  349.000   -3.736 5740.537    0.016 2294.026
[1]  350.000   -3.751 5805.181    0.001 5581.110
[1]  351.000   -3.747 5811.583    0.001 5593.283
[1]  352.000   -3.743 5814.520    0.002 5519.267
[1]  353.000   -3.740 5819.502    0.001 5592.212
[1]  354.000   -3.743 5829.674    0.001 5652.731
[1]  355.000   -3.710 5717.357    0.031  867.958
[1]  356.000   -3.742 5838.456    0.001 5682.257
[1]  357.000   -3.742 5845.761    0.001 5708.803
[1]  358.000   -3.733 5825.027    0.003 5161.689
[1]  359.000   -3.732 5837.608    0.002 5351.402
[1]  360.000   -3.730 5846.364    0.003 5363.874
[1]  361.000   -3.736 5867.395    0.001 5668.354
[1]  362.000   -3.736 5881.070    0.001 5783.639
[1]  363.000   -3.737 5895.221    0.001 5862.178
[1]  364.000   -3.738 5903.402    0.001 5892.413
[1]  365.000   -3.738 5920.769    0.001 5954.362
[1]  366.000   -3.736 5922.244    0.002 5876.514
[1]  367.000   -3.736 5935.393    0.001 6004.945
[1]  368.000   -3.735 5942.418    0.001 6031.917
[1]  369.000   -3.731 5949.946    0.001 6014.890
[1]  370.000   -3.724 5932.512    0.007 4811.351
[1]  371.000   -3.730 5959.944    0.001 6074.413
[1]  372.000   -3.729 5966.307    0.001 6086.472
[1]  373.000   -3.730 5974.705    0.001 6132.806
[1]  374.000   -3.729 5983.249    0.001 6165.012
[1]  375.000   -3.730 5988.671    0.001 6186.575
[1]  376.000   -3.728 5997.772    0.001 6223.210
[1]  377.000   -3.727 6008.568    0.001 6259.057
[1]  378.000   -3.728 6012.396    0.001 6275.966
[1]  379.000   -3.727 6017.013    0.001 6278.316
[1]  380.000   -3.726 6017.126    0.002 6125.553
[1]  381.000   -3.725 6023.329    0.002 6209.432
[1]  382.000   -3.723 6032.767    0.001 6281.480
[1]  383.000   -3.724 6043.123    0.001 6347.339
[1]  384.000   -3.724 6046.951    0.001 6367.444
[1]  385.000   -3.723 6054.143    0.001 6396.605
[1]  386.000   -3.716 6045.141    0.005 5704.398
[1]  387.000   -3.719 6071.064    0.001 6442.198
[1]  388.000   -3.719 6080.844    0.001 6497.062
[1]  389.000   -3.719 6094.616    0.001 6544.291
[1]  390.000   -3.715 6099.378    0.002 6452.734
[1]  391.000   -3.716 6106.294    0.001 6559.398
[1]  392.000   -3.714 6112.765    0.001 6594.805
[1]  393.000   -3.713 6113.900    0.002 6535.961
[1]  394.000   -3.715 6125.656    0.001 6637.595
[1]  395.000   -3.714 6137.327    0.001 6665.446
[1]  396.000   -3.714 6142.212    0.002 6621.779
[1]  397.000   -3.714 6153.691    0.001 6739.701
[1]  398.000   -3.714 6160.395    0.001 6765.853
[1]  399.000   -3.714 6160.847    0.001 6765.326
[1]  400.000   -3.709 6153.144    0.002 6584.401
[1]  401.000   -3.712 6170.992    0.001 6793.325
[1]  402.000   -3.710 6185.599    0.001 6813.232
[1]  403.000   -3.709 6195.863    0.001 6846.410
[1]  404.000   -3.707 6205.469    0.002 6823.911
[1]  405.000   -3.705 6205.385    0.002 6804.555
[1]  406.000   -3.706 6217.839    0.001 6929.857
[1]  407.000   -3.707 6222.262    0.001 6953.983
[1]  408.000   -3.707 6236.240    0.001 6993.346
[1]  409.000   -3.707 6240.520    0.001 7015.553
[1]  410.000   -3.705 6245.713    0.001 7024.637
[1]  411.000   -3.703 6250.071    0.001 7044.653
[1]  412.000   -3.701 6247.207    0.002 6909.404
[1]  413.000   -3.703 6260.672    0.001 7083.013
[1]  414.000   -3.701 6261.012    0.001 7014.744
[1]  415.000   -3.702 6271.403    0.001 7114.945
[1]  416.000   -3.703 6277.055    0.001 7145.472
[1]  417.000   -3.702 6276.647    0.001 7103.192
[1]  418.000   -3.702 6283.872    0.001 7165.857
[1]  419.000   -3.700 6291.041    0.001 7168.172
[1]  420.000   -3.700 6293.123    0.001 7159.545
[1]  421.000   -3.699 6308.541    0.001 7249.997
[1]  422.000   -3.699 6315.235    0.001 7276.929
[1]  423.000   -3.701 6323.389    0.001 7311.961
> Sys.time()
[1] "2023-03-11 15:33:49 PST"
> # Unique parameter sets
> n_unique <- length(unique(l_fit_imis$resample[,1])) # 6299
> # Effective sample size
> n_ess <- round(sum(table(l_fit_imis$resample[,1]))^2/ sum(table(l_fit_imis$resample[,1])^2), 0) # 4568
> # Max weight
> n_max_wt <- max(table(l_fit_imis$resample[,1]))/sum(table(l_fit_imis$resample[,1])) # 0.0009
> 
> # Calibration stats
> df_cali_stats <- data.frame(n_unique, n_ess, n_max_wt)
> df_cali_stats
  n_unique n_ess n_max_wt
1     6362  4173   0.0014
